Date,Day_of_Week,Food_Category,Weather,Is_Holiday,Is_Weekend,Promotion,Average_Price,Previous_Day_Sales,Customers,Sales
2022-04-04,Monday,Beverages,Hot,0,0,0.0,83.62,365.0,133.0,255.0
2029-06-07,Thursday,Burgers,Rainy,0,0,1.0,126.49,257.0,148.0,370.0
2026-06-03,Wednesday,Fries,Sunny,0,0,0.0,76.43,212.0,118.0,225.0
2027-07-04,Sunday,Burgers,Sunny,0,1,1.0,151.02,359.0,205.0,470.0
2029-01-04,Thursday,Breakfast,Cloudy,0,0,0.0,98.98,395.0,91.0,170.0
2027-08-21,Saturday,McNuggets,Rainy,0,1,0.0,103.36,300.0,164.0,374.0
2026-09-08,Tuesday,Burgers,Cloudy,0,0,0.0,132.98,214.0,175.0,329.0
2026-10-11,Sunday,Beverages,Sunny,0,1,0.0,69.84,394.0,134.0,331.0
2022-11-29,Tuesday,Burgers,Sunny,0,0,0.0,145.3,382.0,110.0,233.0
2022-03-05,Saturday,Fries,Rainy,0,1,0.0,76.6,175.0,114.0,270.0
2028-05-27,Saturday,Burgers,Cold,0,1,0.0,178.73,248.0,132.0,309.0
2027-01-24,Sunday,McNuggets,Sunny,0,1,0.0,94.29,316.0,167.0,352.0
2022-06-24,Friday,McNuggets,Sunny,0,0,0.0,111.91,333.0,134.0,240.0
2027-02-26,Friday,McNuggets,Hot,0,0,0.0,120.98,250.0,107.0,208.0
2028-05-24,Wednesday,Fries,Cold,0,0,0.0,86.12,405.0,130.0,280.0
2022-07-04,Monday,Fries,Cloudy,0,0,0.0,93.62,451.0,117.0,224.0
2023-01-06,Friday,Burgers,Sunny,0,0,0.0,172.46,372.0,123.0,269.0
2024-02-27,Tuesday,Beverages,Cloudy,0,0,1.0,56.61,304.0,185.0,404.0
2029-05-20,Sunday,McNuggets,Cloudy,0,1,1.0,127.14,364.0,197.0,517.0
2030-01-06,Sunday,Desserts,Rainy,0,1,0.0,51.47,390.0,147.0,347.0
2028-11-22,Wednesday,Beverages,Hot,0,0,1.0,52.76,374.0,128.0,334.0
2029-09-11,Tuesday,Fries,Sunny,0,0,0.0,108.1,211.0,143.0,306.0
2024-11-03,Sunday,McNuggets,Hot,0,1,0.0,113.32,210.0,154.0,318.0
2027-07-27,Tuesday,Desserts,Rainy,0,0,0.0,100.98,169.0,98.0,171.0
2024-04-09,Tuesday,Beverages,Sunny,0,0,0.0,81.37,181.0,132.0,226.0
2022-05-20,Friday,Desserts,Sunny,0,0,1.0,93.21,177.0,154.0,429.0
2024-03-30,Saturday,Fries,Cloudy,0,1,1.0,74.42,389.0,188.0,447.0
2029-01-18,Thursday,Fries,Rainy,0,0,1.0,97.98,222.0,125.0,254.0
2023-02-21,Tuesday,Fries,Cloudy,0,0,0.0,87.9,182.0,125.0,235.0
2027-10-14,Thursday,Burgers,Rainy,0,0,1.0,,306.0,179.0,475.0
2029-12-25,Tuesday,McNuggets,Sunny,1,0,0.0,169.13,163.0,170.0,1394.0
2028-04-29,Saturday,Beverages,Cloudy,0,1,0.0,50.95,350.0,132.0,313.0
2029-10-12,Friday,Breakfast,Sunny,0,0,1.0,111.56,311.0,179.0,421.0
2025-02-08,Saturday,McNuggets,Rainy,0,1,0.0,93.16,170.0,161.0,263.0
2025-07-22,Tuesday,McNuggets,Cloudy,0,0,0.0,93.64,288.0,132.0,211.0
2025-09-18,Thursday,Desserts,Sunny,0,0,1.0,105.03,302.0,148.0,370.0
2023-02-16,Thursday,Desserts,Sunny,0,0,0.0,96.97,252.0,99.0,208.0
2025-01-05,Sunday,Burgers,Rainy,0,1,0.0,187.77,474.0,130.0,274.0
2028-11-04,Saturday,Beverages,Rainy,0,1,0.0,99.96,243.0,102.0,252.0
2024-10-14,Monday,Beverages,Cold,0,0,0.0,58.21,499.0,137.0,308.0
2026-04-17,Friday,Burgers,Sunny,0,0,0.0,144.73,403.0,162.0,335.0
2029-03-07,Wednesday,FRIES ,Hot,0,0,0.0,48.59,135.0,116.0,259.0
2022-02-14,Monday,Fries,Hot,0,0,1.0,80.09,204.0,189.0,500.0
2029-06-28,Thursday,Breakfast,sunny,0,0,1.0,119.6,147.0,122.0,244.0
2025-11-20,Thursday,Desserts,Sunny,0,0,1.0,89.15,308.0,165.0,333.0
2022-07-23,Saturday,Desserts,Hot,0,1,0.0,83.34,430.0,178.0,333.0
2029-05-02,Wednesday,Burgers,Rainy,0,0,0.0,152.73,403.0,153.0,281.0
2027-11-09,Tuesday,Burgers,Rainy,0,0,0.0,165.05,310.0,128.0,188.0
2027-10-09,Saturday,Desserts,Sunny,0,1,0.0,87.26,244.0,,271.0
2022-11-11,Friday,Breakfast,Sunny,0,0,0.0,108.87,258.0,125.0,193.0
2029-12-02,Sunday,Breakfast,Cloudy,0,1,1.0,78.68,549.0,163.0,401.0
2029-04-23,Monday,Fries,Hot,0,0,1.0,56.16,334.0,166.0,419.0
2023-05-11,Thursday,Fries,Sunny,0,0,0.0,80.53,292.0,112.0,224.0
2022-09-28,Wednesday,Breakfast,Sunny,0,0,0.0,91.68,190.0,110.0,152.0
2025-11-12,Wednesday,Burgers,Sunny,0,0,0.0,172.82,227.0,132.0,250.0
2022-11-19,Saturday,McNuggets,Hot,0,1,0.0,139.3,247.0,163.0,335.0
2026-12-24,Thursday,McNuggets,Cold,0,0,1.0,106.14,359.0,194.0,395.0
2023-03-16,Thursday,Burgers,Cold,0,0,0.0,167.22,301.0,141.0,277.0
2027-02-22,Monday,Fries,Cloudy,0,0,0.0,60.51,267.0,124.0,208.0
2025-08-14,Thursday,Burgers,Cold,0,0,0.0,130.26,239.0,149.0,237.0
2022-02-22,Tuesday,Desserts,Sunny,0,0,0.0,52.85,304.0,151.0,289.0
2027-06-07,Monday,Beverages,Hot,0,0,0.0,64.63,243.0,113.0,287.0
2022-05-25,Wednesday,Fries,Sunny,0,0,1.0,95.37,335.0,147.0,355.0
2026-05-21,Thursday,Fries,Hot,0,0,0.0,66.46,320.0,125.0,209.0
2029-05-03,Thursday,Beverages,Sunny,0,0,0.0,57.0,264.0,139.0,372.0
2028-06-28,Wednesday,McNuggets,,0,0,0.0,164.64,277.0,139.0,383.0
2028-03-21,Tuesday,Fries,Sunny,0,0,0.0,59.95,297.0,100.0,209.0
2026-09-15,Tuesday,Desserts,Cloudy,0,0,0.0,50.78,346.0,129.0,204.0
2028-08-08,Tuesday,Burgers,Sunny,0,0,1.0,143.34,246.0,209.0,518.0
2029-07-02,Monday,Burgers,Cloudy,0,0,0.0,133.41,290.0,152.0,296.0
2022-10-17,Monday,McNuggets,Sunny,0,0,0.0,107.72,407.0,110.0,213.0
