Previous_Day_Sales,Customers,Promotion,Is_Weekend,Food_Category,Sales,Food_Category_enc
365.0,133.0,0.0,0,Beverages,255.0,0
257.0,148.0,1.0,0,Burgers,370.0,2
212.0,118.0,0.0,0,Fries,225.0,4
359.0,205.0,1.0,1,Burgers,470.0,2
395.0,91.0,0.0,0,Breakfast,170.0,1
300.0,164.0,0.0,1,Mcnuggets,374.0,5
214.0,175.0,0.0,0,Burgers,329.0,2
394.0,134.0,0.0,1,Beverages,331.0,0
382.0,110.0,0.0,0,Burgers,233.0,2
175.0,114.0,0.0,1,Fries,270.0,4
248.0,132.0,0.0,1,Burgers,309.0,2
316.0,167.0,0.0,1,Mcnuggets,352.0,5
333.0,134.0,0.0,0,Mcnuggets,240.0,5
250.0,107.0,0.0,0,Mcnuggets,208.0,5
405.0,130.0,0.0,0,Fries,280.0,4
451.0,117.0,0.0,0,Fries,224.0,4
372.0,123.0,0.0,0,Burgers,269.0,2
304.0,185.0,1.0,0,Beverages,404.0,0
364.0,197.0,1.0,1,Mcnuggets,517.0,5
390.0,147.0,0.0,1,Desserts,347.0,3
374.0,128.0,1.0,0,Beverages,334.0,0
211.0,143.0,0.0,0,Fries,306.0,4
210.0,154.0,0.0,1,Mcnuggets,318.0,5
169.0,98.0,0.0,0,Desserts,171.0,3
181.0,132.0,0.0,0,Beverages,226.0,0
177.0,154.0,1.0,0,Desserts,429.0,3
389.0,188.0,1.0,1,Fries,447.0,4
222.0,125.0,1.0,0,Fries,254.0,4
182.0,125.0,0.0,0,Fries,235.0,4
306.0,179.0,1.0,0,Burgers,475.0,2
350.0,132.0,0.0,1,Beverages,313.0,0
311.0,179.0,1.0,0,Breakfast,421.0,1
170.0,161.0,0.0,1,Mcnuggets,263.0,5
288.0,132.0,0.0,0,Mcnuggets,211.0,5
302.0,148.0,1.0,0,Desserts,370.0,3
252.0,99.0,0.0,0,Desserts,208.0,3
474.0,130.0,0.0,1,Burgers,274.0,2
243.0,102.0,0.0,1,Beverages,252.0,0
499.0,137.0,0.0,0,Beverages,308.0,0
403.0,162.0,0.0,0,Burgers,335.0,2
135.0,116.0,0.0,0,Fries,259.0,4
204.0,189.0,1.0,0,Fries,500.0,4
147.0,122.0,1.0,0,Breakfast,244.0,1
308.0,165.0,1.0,0,Desserts,333.0,3
430.0,178.0,0.0,1,Desserts,333.0,3
403.0,153.0,0.0,0,Burgers,281.0,2
310.0,128.0,0.0,0,Burgers,188.0,2
244.0,141.0,0.0,1,Desserts,271.0,3
258.0,125.0,0.0,0,Breakfast,193.0,1
549.0,163.0,1.0,1,Breakfast,401.0,1
334.0,166.0,1.0,0,Fries,419.0,4
292.0,112.0,0.0,0,Fries,224.0,4
190.0,110.0,0.0,0,Breakfast,152.0,1
227.0,132.0,0.0,0,Burgers,250.0,2
247.0,163.0,0.0,1,Mcnuggets,335.0,5
359.0,194.0,1.0,0,Mcnuggets,395.0,5
301.0,141.0,0.0,0,Burgers,277.0,2
267.0,124.0,0.0,0,Fries,208.0,4
239.0,149.0,0.0,0,Burgers,237.0,2
304.0,151.0,0.0,0,Desserts,289.0,3
243.0,113.0,0.0,0,Beverages,287.0,0
335.0,147.0,1.0,0,Fries,355.0,4
320.0,125.0,0.0,0,Fries,209.0,4
264.0,139.0,0.0,0,Beverages,372.0,0
277.0,139.0,0.0,0,Mcnuggets,383.0,5
297.0,100.0,0.0,0,Fries,209.0,4
346.0,129.0,0.0,0,Desserts,204.0,3
246.0,209.0,1.0,0,Burgers,518.0,2
290.0,152.0,0.0,0,Burgers,296.0,2
407.0,110.0,0.0,0,Mcnuggets,213.0,5
346.0,191.0,0.0,1,Beverages,462.0,0
221.0,100.0,0.0,0,Mcnuggets,208.0,5
162.0,113.0,,0,Beverages,272.0,0
294.0,155.0,0.0,1,Fries,348.0,4
133.0,168.0,0.0,1,Mcnuggets,342.0,5
279.0,143.0,0.0,0,Desserts,269.0,3
440.0,187.0,1.0,0,Mcnuggets,365.0,5
505.0,189.0,1.0,1,Breakfast,403.0,1
308.0,115.0,0.0,0,Burgers,210.0,2
338.0,141.0,0.0,0,Fries,255.0,4
292.0,128.0,0.0,0,Breakfast,278.0,1
388.0,117.0,,0,Burgers,265.0,2
453.0,102.0,0.0,0,Fries,199.0,4
226.0,179.0,1.0,0,Desserts,397.0,3
334.0,241.0,1.0,1,Mcnuggets,497.0,5
268.0,167.0,1.0,0,Beverages,437.0,0
301.0,96.0,0.0,0,Fries,177.0,4
222.0,207.0,0.0,1,Burgers,407.0,2
369.0,125.0,1.0,0,Breakfast,190.0,1
349.0,97.0,0.0,0,Mcnuggets,196.0,5
271.0,141.0,0.0,0,Fries,156.0,4
249.0,232.0,1.0,1,Beverages,554.0,0
345.0,186.0,1.0,1,Desserts,383.0,3
164.0,114.0,0.0,0,Desserts,246.0,3
424.0,112.0,0.0,0,Desserts,240.0,3
241.0,143.0,0.0,0,Fries,319.0,4
296.0,154.0,0.0,0,Burgers,342.0,2
251.0,170.0,0.0,1,Burgers,381.0,2
349.0,114.0,0.0,0,Mcnuggets,244.0,5
320.0,127.0,0.0,0,Fries,242.0,4
198.0,104.0,0.0,0,Beverages,246.0,0
359.0,188.0,0.0,1,Burgers,464.0,2
285.0,127.0,1.0,0,Breakfast,292.0,1
176.0,119.0,0.0,0,Mcnuggets,283.0,5
383.0,163.0,1.0,0,Desserts,330.0,3
267.0,155.0,1.0,0,Burgers,359.0,2
231.0,156.0,0.0,0,Beverages,278.0,0
337.0,161.0,0.0,0,Burgers,380.0,2
294.0,203.0,1.0,0,Burgers,407.0,2
215.0,86.0,0.0,0,Desserts,110.0,3
581.0,158.0,1.0,0,Desserts,391.0,3
256.0,158.0,0.0,0,Burgers,313.0,2
281.0,117.0,0.0,1,Fries,269.0,4
185.0,196.0,1.0,0,Beverages,390.0,0
238.0,159.0,0.0,1,Mcnuggets,344.0,5
500.0,239.0,1.0,1,Mcnuggets,518.0,5
226.0,74.0,0.0,0,Desserts,204.0,3
244.0,119.0,0.0,0,Beverages,228.0,0
310.0,162.0,1.0,0,Beverages,404.0,0
212.0,110.0,0.0,0,Breakfast,155.0,1
208.0,141.0,0.0,0,Burgers,388.0,2
294.0,96.0,0.0,0,Fries,158.0,4
523.0,174.0,0.0,1,Mcnuggets,289.0,5
398.0,126.0,0.0,0,Desserts,245.0,3
295.0,143.0,0.0,0,Beverages,282.0,0
192.0,187.0,1.0,0,Fries,434.0,4
156.0,108.0,0.0,0,Beverages,300.0,0
438.0,126.0,0.0,0,Beverages,204.0,0
406.0,149.0,1.0,0,Mcnuggets,271.0,5
284.0,130.0,0.0,0,Burgers,269.0,2
220.0,113.0,0.0,0,Desserts,178.0,3
294.0,226.0,1.0,1,Burgers,532.0,2
168.0,130.0,1.0,0,Mcnuggets,333.0,5
368.0,103.0,0.0,0,Breakfast,194.0,1
117.0,126.0,0.0,1,Breakfast,247.0,1
265.0,164.0,1.0,0,Fries,400.0,4
321.0,206.0,1.0,1,Beverages,454.0,0
383.0,101.0,0.0,0,Burgers,117.0,2
411.0,114.0,0.0,0,Mcnuggets,246.0,5
365.0,174.0,0.0,1,Mcnuggets,368.0,5
269.0,113.0,0.0,0,Beverages,270.0,0
330.0,124.0,0.0,0,Burgers,237.0,2
309.0,183.0,1.0,0,Fries,392.0,4
143.0,156.0,0.0,0,Beverages,306.0,0
100.0,185.0,1.0,0,Fries,486.0,4
311.0,130.0,0.0,0,Burgers,226.0,2
329.0,115.0,0.0,0,Fries,225.0,4
255.0,138.0,1.0,0,Burgers,325.0,2
523.0,166.0,1.0,0,Mcnuggets,360.0,5
363.0,197.0,1.0,0,Breakfast,414.0,1
422.0,198.0,0.0,1,Burgers,420.0,2
152.0,128.0,0.0,0,Breakfast,155.0,1
214.0,128.0,1.0,0,Mcnuggets,390.0,5
376.0,110.0,0.0,0,Breakfast,170.0,1
476.0,96.0,0.0,0,Fries,261.0,4
320.0,113.0,0.0,0,Burgers,184.0,2
201.0,137.0,1.0,0,Breakfast,254.0,1
280.0,210.0,1.0,1,Burgers,545.0,2
239.0,139.0,0.0,0,Burgers,302.0,2
316.0,158.0,1.0,0,Breakfast,350.0,1
246.0,166.0,1.0,0,Fries,371.0,4
361.0,150.0,0.0,1,Mcnuggets,242.0,5
178.0,138.0,0.0,0,Burgers,233.0,2
249.0,112.0,0.0,0,Fries,236.0,4
272.0,132.0,0.0,1,Fries,214.0,4
221.0,138.0,0.0,0,Burgers,240.0,2
333.0,151.0,1.0,0,Desserts,352.0,3
433.0,177.0,0.0,0,Burgers,315.0,2
452.0,173.0,0.0,1,Burgers,327.0,2
445.0,129.0,0.0,0,Desserts,289.0,3
186.0,151.0,0.0,0,Burgers,294.0,2
264.0,140.0,0.0,1,Beverages,263.0,0
365.0,143.0,0.0,0,Burgers,312.0,2
466.0,165.0,0.0,1,Mcnuggets,309.0,5
245.0,143.0,1.0,0,Desserts,323.0,3
248.0,161.0,1.0,0,Burgers,344.0,2
320.0,138.0,0.0,0,Beverages,290.0,0
